subject,body,label
50% Off Sale!,Big discounts this weekend!,Promotions
John liked your post,He commented on your latest picture.,Social
Meeting Reminder,Don’t forget tomorrow’s meeting at 10 AM.,Important
You've won a prize!,Click to claim your free iPhone.,Spam
Your account needs attention,Update your billing info.,Important
Free Trial Ends Today,Get premium before it expires.,Promotions
Friend tagged you in a post,See what they posted.,Social
Security Alert,New login from unknown device.,Important
Flash Sale!,70% off everything today only.,Promotions
LOL! Look at this meme,Too funny not to share.,Social
Earn cash fast,Click here to join our program.,Spam
Urgent: Action Needed,Verify your account details.,Important
Don’t miss this deal,Only a few hours left to save.,Promotions
Catch up with old friends,People you may know.,Social
Congratulations!,You've been selected for a giveaway.,Spam
"New comment on your post","Someone commented on your photo.","Social"
"New follower","You have a new follower on Instagram.","Social"
"Friend tagged you","You were tagged in a new post.","Social"
Exclusive deal just for you,Save 40% on your next order.,Promotions
Mega Sale Today Only!,Get up to 70% off. Shop now.,Promotions
New Arrivals!,Check out our latest fashion drop.,Promotions
Special Offer!,Buy one get one free on select items.,Promotions
Claim your discount,Your 25% off code is inside.,Promotions
Your friend sent a snap,Open Snapchat to view.,Social
You were mentioned in a tweet,See what they said.,Social
New comment on your photo,"Nice shot!",Social
You got a new match,Open the app to connect.,Social
New group message,Someone posted in your group.,Social
Huge Savings Inside!,Save 50% on your next order!,Promotions
Don't Miss Out,Final hours to grab the deal!,Promotions
Limited Time Offer,Flash sale on all electronics.,Promotions
Shop Now,Clearance sale ends today.,Promotions
Get Rewarded,Join our loyalty program.,Promotions
Weekly Deals,Your special discount is waiting.,Promotions
New Arrivals!,Fresh styles just launched.,Promotions
Jane commented on your photo,"Nice shot! 📸",Social
You were tagged,Check out this post you're in.,Social
New message from Mike,"Hey, want to hang out this weekend?",Social
3 people liked your post,See who reacted to your latest photo.,Social
You're invited,Join our Facebook event.,Social
New connection request,Someone wants to add you.,Social
Reminder: Upcoming Meeting,"Team sync at 10:00 AM on Zoom.",Important
Your receipt is ready,"Thanks for your payment. Receipt attached.",Important
Account Alert,"Suspicious login attempt detected.",Important
Tuition Payment Due,"Your fee is due by the 5th.",Important
Project Deadline,"Submit your final paper by Friday.",Important
Class Update,"Classroom changed to B105.",Important
Financial Aid Update,"New scholarship deadline extended.",Important
You've won!,Claim your $100 gift card now!,Spam
Congratulations!,You're our lucky winner. Click here.,Spam
Get rich fast!,Turn $100 into $10000 with this secret.,Spam
Act now!,Limited-time crypto investment tips.,Spam
Earn from home,No skills required. Sign up today.,Spam
Your Amazon account is locked,Click this link to reactivate.,Spam
Urgent: Verify Your Identity,"Failure to respond may suspend your account.",Spam
Your loan is approved,No credit check required! Apply now.,Spam
Final notice!,Your car warranty is about to expire.,Spam
Get rich quick!,Make $500 a day with no effort.,Spam
You've been selected,Congrats! You won a $500 gift card.,Spam
Work from home,No experience needed. Start earning today.,Spam
Unsubscribe now,Click to remove yourself from this list.,Spam
Free gift inside,Open this to get your free smartwatch.,Spam
Lose weight fast,Doctors hate this trick!,Spam
Click here to confirm,We just need one more detail.,Spam
Hurry! Offer ends today,Don’t miss your reward.,Spam
subject,body,label
You've been selected! #504,Exclusive offer for a limited time only. Ref: 31208,Spam
New arrivals in store #807,Check out the latest fashion trends. Ref: 12604,Promotions
Let's catch up #724,"Hey, it's been a while. Want to grab coffee? Ref: 71605",Social
Account security alert #978,We noticed a login from a new device. Ref: 51241,Important
You've been selected! #996,Exclusive offer for a limited time only. Ref: 67600,Spam
Flash Sale Now Live! #277,Get 50% off on all electronics today. Ref: 62864,Promotions
New message received #501,You've got a new message from John. Ref: 68813,Social
Meeting rescheduled #393,The meeting is now at 3 PM instead of 2. Ref: 87409,Important
Get rich quick! #332,Make thousands from home with no effort. Ref: 95207,Spam
Flash Sale Now Live! #967,Get 50% off on all electronics today. Ref: 73897,Promotions
Let's catch up #897,"Hey, it's been a while. Want to grab coffee? Ref: 67159",Social
Account security alert #483,We noticed a login from a new device. Ref: 81956,Important
You've been selected! #282,Exclusive offer for a limited time only. Ref: 85569,Spam
New arrivals in store #536,Check out the latest fashion trends. Ref: 91520,Promotions
New message received #428,You've got a new message from John. Ref: 44673,Social
Meeting rescheduled #739,The meeting is now at 3 PM instead of 2. Ref: 34953,Important
Win a free iPhone! #186,Click here to claim your prize. Ref: 31890,Spam
Exclusive Member Deals #734,Unlock special discounts just for you. Ref: 40870,Promotions
Your friend tagged you #847,Check out this new photo on our app. Ref: 78553,Social
Project deadline update #870,Please submit by end of the day. Ref: 47859,Important
You've been selected! #752,Exclusive offer for a limited time only. Ref: 79055,Spam
Flash Sale Now Live! #793,Get 50% off on all electronics today. Ref: 81295,Promotions
Let's catch up #765,"Hey, it's been a while. Want to grab coffee? Ref: 98690",Social
Meeting rescheduled #527,The meeting is now at 3 PM instead of 2. Ref: 42001,Important
Get rich quick! #778,Make thousands from home with no effort. Ref: 13750,Spam
Exclusive Member Deals #237,Unlock special discounts just for you. Ref: 43964,Promotions
New message received #943,You've got a new message from John. Ref: 65900,Social
Account security alert #405,We noticed a login from a new device. Ref: 88212,Important
Win a free iPhone! #184,Click here to claim your prize. Ref: 25953,Spam
New arrivals in store #184,Check out the latest fashion trends. Ref: 49300,Promotions
Your friend tagged you #206,Check out this new photo on our app. Ref: 22592,Social
Project deadline update #174,Please submit by end of the day. Ref: 95864,Important
Get rich quick! #108,Make thousands from home with no effort. Ref: 19690,Spam
Exclusive Member Deals #224,Unlock special discounts just for you. Ref: 58908,Promotions
Let's catch up #261,"Hey, it's been a while. Want to grab coffee? Ref: 80457",Social
Account security alert #855,We noticed a login from a new device. Ref: 20945,Important
You've been selected! #331,Exclusive offer for a limited time only. Ref: 11904,Spam
Flash Sale Now Live! #918,Get 50% off on all electronics today. Ref: 45344,Promotions
New message received #334,You've got a new message from John. Ref: 19471,Social
Meeting rescheduled #341,The meeting is now at 3 PM instead of 2. Ref: 24596,Important
Win a free iPhone! #822,Click here to claim your prize. Ref: 12149,Spam
New arrivals in store #194,Check out the latest fashion trends. Ref: 85978,Promotions
Your friend tagged you #913,Check out this new photo on our app. Ref: 62268,Social
Project deadline update #837,Please submit by end of the day. Ref: 69356,Important
Get rich quick! #798,Make thousands from home with no effort. Ref: 36534,Spam
Exclusive Member Deals #813,Unlock special discounts just for you. Ref: 41085,Promotions
Let's catch up #747,"Hey, it's been a while. Want to grab coffee? Ref: 70161",Social
Account security alert #688,We noticed a login from a new device. Ref: 91736,Important
You've been selected! #148,Exclusive offer for a limited time only. Ref: 64328,Spam
Flash Sale Now Live! #322,Get 50% off on all electronics today. Ref: 31299,Promotions
New message received #536,You've got a new message from John. Ref: 29970,Social
Meeting rescheduled #406,The meeting is now at 3 PM instead of 2. Ref: 30345,Important
Win a free iPhone! #738,Click here to claim your prize. Ref: 15425,Spam
New arrivals in store #345,Check out the latest fashion trends. Ref: 73158,Promotions
Your friend tagged you #841,Check out this new photo on our app. Ref: 10836,Social
Project deadline update #764,Please submit by end of the day. Ref: 95797,Important
Get rich quick! #212,Make thousands from home with no effort. Ref: 29894,Spam
Exclusive Member Deals #668,Unlock special discounts just for you. Ref: 41367,Promotions
Let's catch up #703,"Hey, it's been a while. Want to grab coffee? Ref: 20767",Social
Account security alert #949,We noticed a login from a new device. Ref: 33842,Important
You've been selected! #970,Exclusive offer for a limited time only. Ref: 34749,Spam
Flash Sale Now Live! #653,Get 50% off on all electronics today. Ref: 19987,Promotions
New message received #938,You've got a new message from John. Ref: 26061,Social
Meeting rescheduled #697,The meeting is now at 3 PM instead of 2. Ref: 23468,Important
Win a free iPhone! #603,Click here to claim your prize. Ref: 27624,Spam
New arrivals in store #708,Check out the latest fashion trends. Ref: 16857,Promotions
Your friend tagged you #118,Check out this new photo on our app. Ref: 28408,Social
Project deadline update #159,Please submit by end of the day. Ref: 72758,Important
Get rich quick! #458,Make thousands from home with no effort. Ref: 47969,Spam
Exclusive Member Deals #886,Unlock special discounts just for you. Ref: 40484,Promotions
Let's catch up #117,"Hey, it's been a while. Want to grab coffee? Ref: 35623",Social
Account security alert #702,We noticed a login from a new device. Ref: 75458,Important
You've been selected! #782,Exclusive offer for a limited time only. Ref: 70345,Spam
Flash Sale Now Live! #373,Get 50% off on all electronics today. Ref: 12190,Promotions
New message received #612,You've got a new message from John. Ref: 69078,Social
Meeting rescheduled #184,The meeting is now at 3 PM instead of 2. Ref: 38385,Important
Win a free iPhone! #236,Click here to claim your prize. Ref: 16617,Spam
New arrivals in store #998,Check out the latest fashion trends. Ref: 34520,Promotions
